水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,0.000,35.9586285200,139.4689345000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,0.000,35.9572855400,139.4700128000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,0.200,35.9567108200,139.4674649000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,0.200,35.9562152600,139.4681933000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,0.400,35.9551221900,139.4658389000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,0.400,35.9546557700,139.4665345000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,0.600,35.9533354400,139.4644730000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,0.600,35.9530188800,139.4652612000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,0.800,35.9567393100,139.4674912000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,0.800,35.9562150300,139.4681933000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,1.000,35.9551222800,139.4658391000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,1.000,35.9546700500,139.4665907000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,1.200,35.9533353800,139.4644730000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,1.200,35.9530185300,139.4652612000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,1.400,35.9514248000,139.4636108000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,1.400,35.9510844000,139.4642992000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,1.600,35.9504114600,139.4623862000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,1.600,35.9497727300,139.4625729000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,1.800,35.9496826400,139.4610659000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,1.800,35.9491054300,139.4613984000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,2.000,35.9484552200,139.4598695000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,2.000,35.9482596200,139.4605756000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,2.200,35.9471599900,139.4590084000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,2.200,35.9468865100,139.4597058000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,2.400,35.9461867100,139.4578114000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,2.400,35.9457389300,139.4583357000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,2.600,35.9454686800,139.4562650000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,2.600,35.9449209700,139.4565473000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,2.800,35.9447942800,139.4544595000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,2.800,35.9442772100,139.4549030000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,3.000,35.9432941600,139.4528465000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,3.000,35.9430251700,139.4534502000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,3.200,35.9419951800,139.4516126000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,3.200,35.9415431100,139.4521169000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,3.400,35.9411924300,139.4496888000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,3.400,35.9406553600,139.4499212000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,3.600,35.9406859100,139.4473703000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,3.600,35.9401843800,139.4477141000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,3.800,35.9397420100,139.4458111000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,3.800,35.9392777000,139.4462973000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,4.000,35.9385158400,139.4437865000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,4.000,35.9380551900,139.4442474000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,4.200,35.9370946400,139.4426488000,20051212,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,右岸,4.200,35.9369089600,139.4433269000,,,
荒川水系水系,小畔川,8303040071,関東地方整備局,荒川上流河川事務所,入間川出張所,左岸,4.400,35.9351168800,139.4418928000,,,
